channel_name,channel_id,type,sources
StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,alternative,Ledwich|Ribeiro|Lewis
PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ,alternative,Ledwich|Ribeiro|Lewis
Brittany Venti,UCLGRZ0xSaBMIUmtn8wkPP3w,alternative,Ledwich
Breitbart News,UCmgnsaQIK1IR808Ebde-ssA,alternative,Ledwich
Demirep,UCz-y9OLmILUM1HGCE4Ffbkw,alternative,Ledwich|Ribeiro
We the Internet TV,UCa1DgvQUuQnJmMCwlxZ7SSg,alternative,Ledwich
Blaire White,UCDmCBKaKOtOrEqgsL4-3C8Q,alternative,Ledwich|Lewis
Justin Murphy,UCfrlXVXz-pT9AmmDELhpyOw,alternative,Ledwich
ShortFatOtaku,UCVt7ujK-9TT9KByzL9g_2QQ,alternative,Ledwich
MR. OBVIOUS,UCyznn3etx_6fSK7576JSrKg,alternative,Ledwich|Ribeiro
BlazeTV,UCKgJEs_v0JB-6jWb8lIy9Xw,alternative,Ledwich|Ribeiro
RockingMrE,UCzOnXvfwc32YEiwTe_8Nf-g,alternative,Ledwich
Dame Pesos,UC7eWRnOTyqua812sDXGqiqw,alternative,Ledwich
Rekieta Law,UCbkjX3E0IhuUfPzL0FjSPaw,alternative,Ledwich
6oodfella,UCBVYmXSIzHq_gXMZpsfd9kg,alternative,Ledwich|Ribeiro
Akkad Daily,UCitU2-w3XE8ujvUZjcAnhIg,alternative,Ledwich
The Daily Wire,UCaeO5vkdj5xOQHp4UmIN6dw,alternative,Ledwich|Ribeiro|Lewis
Matt Christiansen,UCxeY-wRrb65Jt37QHa5xMog,alternative,Ledwich|Ribeiro
JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,alternative,Ledwich|Ribeiro
Liberty Hangout,UCQMb7c66tJ7Si8IrWHOgAPg,alternative,Ledwich|Ribeiro
The Rubin Report,UCJdKr0Bgd_5saZYqLCa9mng,alternative,Ledwich|Ribeiro|Lewis
The Fallen State,UCLrVxw4H4ZJ3LovpdbzF7bw,alternative,Ledwich|Ribeiro
Lauren Chen,UCLUrVTVTA3PnUFpYvpfMcpg,alternative,Ledwich|Ribeiro|Lewis
Bunty King,UCka_dz0F1gYuvN8LTefNcJQ,alternative,Ledwich|Lewis
"Hi, I Think I'm Real",UC0lq8TJi-nuHikpkSA89SOw,alternative,Ledwich
TL;DR,UCMIj-wEiKIcGAcLoBO2ciQQ,alternative,Ledwich
Kraut,UCr_Q-bPpcw5fJ-Oow1BW1NQ,alternative,Ledwich
Bloggingheads.tv,UCeamuoYuBeRnRRbmq5CmjVg,alternative,Ledwich
No Bullshit,UCZNk7Jjb2t8EuBdgn4Zj1cw,alternative,Ledwich|Ribeiro|Lewis
Dr. Edward Dutton: The Jolly Heretic,UCMRs0Ml8RF0cWVAOeQeBxTw,alternative,Ledwich
The Academic Agent,UCyawG3aTE7RmNQcFQskDWcw,alternative,Ledwich
The Asian Capitalists,UCfhkaO2fOmIX05DQ72uZsig,alternative,Ledwich
ADAM FRIENDED,UCy6Q3wg-PgsgO2XtQxZpZEg,alternative,Ledwich
America Uncovered,UC_7vFlErTHxVD-IFNB-BFCg,alternative,Ledwich
Liberty Doll,UCaEgjV59fLXgnN5BJdLsD3Q,alternative,Ledwich
SHUTTERSHOT45,UCxWqlhmDlq4nQ0Jv5hD2wlw,alternative,Ledwich
DoctorRandomercam,UC72vWiZdUN_Y2OC2RgJ-dvA,alternative,Ledwich|Ribeiro
Bite-sized Philosophy,UCo9QgwWCNEhDxL1gH-jxa8Q,alternative,Ledwich|Ribeiro
Proud Conservative,UCGwD6FIVFso2IJQmFGgDNKA,alternative,Ledwich
Michael Knowles,UCr4kgAUTFkGIwlWSodg43QA,alternative,Ledwich
Coach Red Pill,UC5tEELgWBfKbA9fVPRzBzPQ,alternative,Ledwich|Lewis
Sargon of Akkad Live,UC6cMYsKMx6XicFcFm7mTsmA,alternative,Ledwich|Ribeiro
SomeBlackGuy,UC7e57qWIEAZTQAaFwHpKdlw,alternative,Ledwich|Lewis
Jreg,UCGSGPehp0RWfca-kENgBJ9Q,alternative,Ledwich
Wild Smile,UC39wDqrRwtgVtWUPZmbJ0hw,alternative,Ledwich
Timcast,UCe02lGcO-ahAURWuxAJnjdA,alternative,Ledwich|Ribeiro|Lewis
Metokurist Murdochian Archiver,UCEL5udLvhpEOG8Lc9O-xbmQ,alternative,Ledwich
Dose of Truth,UCNdW82WWvjQEF5tUWVXvdKg,alternative,Ledwich|Ribeiro
johntheother,UC255AfKquZnQMO0amxdEGWw,alternative,Ledwich
Benjamin A Boyce,UCm13xHVNFVwzHzK3QHSaZ3Q,alternative,Ledwich|Ribeiro
Jesse Lee Peterson,UCOBNx5Pdw7FZkh2oQR3i9SQ,alternative,Ledwich
SkepTorr,UCDWmp9u3xBGwFR1iEIeEyOg,alternative,Ledwich
Destiny,UC554eY5jNUfDq3yDOJYirOQ,alternative,Lewis
Glenn  Beck,UCvqtzdcURSqNjY9RQEK4XmQ,alternative,Ribeiro
Motte & Bailey,UCQAX5byYdc8DTauoY0TzxiQ,alternative,Ribeiro
Make Cringe Great Again,UC2nUwy3lWySoH2tWUiSeOgA,alternative,Ribeiro
ReasonTV,UC0uVZd8N7FfIZnPu0y7o95A,alternative,Ribeiro
RobinHoodUKIP,UCn1wSZL86FfGqZ3aDHiERgw,alternative,Ribeiro
The Heritage Foundation,UC5bEfSFTYQVfLCwkhBt8NtQ,alternative,Ribeiro
ybrook,UCabMx-URCjr2toe9wOE3Y-Q,alternative,Ribeiro
Dr. Steve Turley,UCCsiAKRKcgzA_372WbXNBaw,alternative,Ribeiro
The Propertarian Institute,UCpJykKGRQ4601DzVkkGk7bA,alternative,Ribeiro
Tea Clips,UCZMoAfVZKRS2HKA_gTPQY0g,alternative,Ribeiro
brianoflondon,UCu76O9Ye9k633b2VaLg9cPA,alternative,Ribeiro
Rebel Media,UCGy6uV7yqGWDeUWTZzT3ZEg,extremist,Charles|Gizmodo
The Golden One,UCN0-RRaxMgh86eOwndAklxw,extremist,Charles|Ribeiro|COE|Gizmodo
Lauren Southern,UCla6APLHX6W3FeNLc8PYuvg,extremist,Charles|Ledwich|COE
No White Guilt,UCkY8CvV8WQFe87CZGmvuYHA,extremist,Charles|Ledwich|Ribeiro|Gizmodo
Laura Towler,UCRWRClsBI3p9gnYO8UBst2g,extremist,Charles|Ledwich|Ribeiro
Arktos Media,UC0h-sR-xyYLX7sSO46ovo2A,extremist,Gizmodo
Glasgov Gang,UCqCK5RFjwgmx2z4sOjqd-kQ,extremist,Gizmodo
Proclaiming Justice to the Nations,UCTsfQhxs_so3lF_PD5QzGDg,extremist,Gizmodo
Understanding The Threat,UCXY4laB0vrcGiYS6XI6M6xA,extremist,Gizmodo
United West,UCOLne0GBKmwwzSUM3oFGtsg,extremist,Gizmodo
Red Pill Philosophy,UCpM_hmOVus872lSLIdbirXQ,extremist,Gizmodo
Sargon of Akkad,UC-yewGHQbNFpDrGM0diZOLA,extremist,Gizmodo
Styxhexenhammer666,UC0rZoXAD5lxgBHMsjrGwWWQ,extremist,Gizmodo
Paul Joseph Watson,UCittVh8imKanO_5KohzDbpg,extremist,COE|Gizmodo
MILO,UC0aVoboXBUx2-tVIWHc3W2Q,extremist,Gizmodo
Patriotic Populist,UCFIyHT6yySaDiAUnqx_qNKg,extremist,Gizmodo
PragerU,UCZWlSUNDvCCS1hBiXV0zKcA,extremist,Gizmodo
Angry Foreigner,UC8kf0zcrJkz7muZg2C_J-XQ,extremist,Gizmodo
Pass The Salt Ministries,UCcCMnLarXBq2Kke0J3dq5dA,extremist,Gizmodo
Liberty Counsel,UC_2haFCL28kXLRG1QUCJG5g,extremist,Gizmodo
CRITICAL CONDITION,UC_N4L2B-g2hZ9OPVdkmthGw,extremist,Ledwich
Real McGoy,UCoHbKigbQVbt6mygvfKwgmA,extremist,Ribeiro
Turth Against The World,UCoWQunH1zvFa6u3IoMXQjRw,extremist,Ribeiro
andy nowicki,UCSTp3xBWG5SbMiDwjJQQ0Lg,extremist,Ribeiro
eliharman,UCPaDUD522GNh4WqMqTnzO2A,extremist,Ribeiro
nightmarefuel,UCyOOQJzQSNMjFJqb3gQENtg,extremist,Ribeiro
The Thinkery,UCpiCH7qvGVlzMOqy3dncA5Q,extremist,COE
Tree Of Logic,UCl3RCEtooHD5bhPCHJw3btA,extremist,COE
